sample_idx,position,token_id,token_str,mi_value
0,0,151667,"<think>",1.650324
0,1,271,"

",0.275976
0,2,151668,"</think>",0.721441
0,3,271,"

",0.634223
0,4,32313,"Okay",2.306727
0,5,11,",",2.193290
0,6,773," so",2.369740
0,7,358," I",1.684439
0,8,1184," need",1.759815
0,9,311," to",1.782027
0,10,1477," find",2.569946
0,11,279," the",2.530571
0,12,1372," number",2.061021
0,13,315," of",2.432935
0,14,9904," solutions",2.165863
0,15,311," to",2.326571
0,16,279," the",1.916083
0,17,23606," equation",2.478868
0,18,400," $",2.301382
0,19,282," f",1.579454
0,20,2075,"(x",1.602647
0,21,8,")",1.900865
0,22,284," =",2.106257
0,23,1124," \",1.131228
0,24,15940,"sin",1.853940
0,25,7,"(",1.787126
0,26,22,"7",2.260695
0,27,59,"\",0.958734
0,28,2493,"pi",2.134036
0,29,1124," \",1.163796
0,30,50853,"cdot",2.120112
0,31,1124," \",1.196069
0,32,15940,"sin",1.754283
0,33,7,"(",1.557927
0,34,20,"5",2.170168
0,35,87,"x",1.799662
0,36,593,"))",1.946552
0,37,284," =",2.058286
0,38,220," ",0.941888
0,39,15,"0",1.744231
0,40,400," $",2.091197
0,41,304," in",1.967377
0,42,279," the",1.790121
0,43,9873," interval",1.763078
0,44,400," $",1.365538
0,45,220," ",0.247165
0,46,15,"0",1.394909
0,47,366," <",1.162943
0,48,856," x",1.440000
0,49,366," <",2.000942
0,50,220," ",0.621455
0,51,17,"2",1.983318
0,52,59,"\",0.547938
0,53,2493,"pi",1.533656
0,54,400," $",1.735176
0,55,11,",",1.899376
0,56,323," and",1.826247
0,57,1221," then",1.748108
0,58,8253," determine",2.022535
0,59,1246," how",1.920453
0,60,1657," many",2.104980
0,61,315," of",1.449893
0,62,1846," those",1.727288
0,63,9904," solutions",1.729127
0,64,525," are",1.853663
0,65,3501," points",1.774258
0,66,1380," where",2.046793
0,67,279," the",1.915488
0,68,4771," graph",1.775126
0,69,315," of",1.803546
0,70,400," $",1.350819
0,71,379," y",1.379697
0,72,284," =",1.661876
0,73,282," f",1.210502
0,74,2075,"(x",1.267797
0,75,8,")",1.227518
0,76,400," $",1.708713
0,77,374," is",1.674510
0,78,68660," tangent",1.700511
0,79,311," to",1.987655
0,80,279," the",1.799878
0,81,856," x",0.403520
0,82,35321,"-axis",2.016614
0,83,13,".",1.514419
0,84,17375," Finally",1.215238
0,85,11,",",1.716365
0,86,358," I",1.163750
0,87,614," have",1.602257
0,88,311," to",1.559106
0,89,912," add",1.695148
0,90,1846," those",1.701756
0,91,1378," two",1.504863
0,92,5109," numbers",1.680649
0,93,3786," together",2.141285
0,94,13,".",1.278347
0,95,6771," Let",0.909924
0,96,752," me",0.751045
0,97,1430," try",0.717765
0,98,311," to",0.861241
0,99,975," work",0.507068
0,100,1526," through",0.453931
0,101,419," this",1.005735
0,102,3019," step",0.235680
0,103,553," by",0.659232
0,104,3019," step",1.153704
0,105,382,".

",0.870022
0,106,5338,"First",0.966608
0,107,11,",",1.392181
0,108,1077," let",0.486581
0,109,752," me",0.862427
0,110,19091," recall",1.207746
0,111,429," that",1.610631
0,112,279," the",1.615802
0,113,57668," sine",0.722862
0,114,729," function",1.202904
0,115,16819," equals",0.613748
0,116,7168," zero",0.877355
0,117,979," when",1.006117
0,118,1181," its",0.788894
0,119,5693," argument",1.014839
0,120,374," is",1.006205
0,121,458," an",0.486853
0,122,7546," integer",0.541456
0,123,5248," multiple",0.496332
0,124,315," of",1.341259
0,125,400," $",0.731876
0,126,1124," \",0.721070
0,127,2493,"pi",0.720466
0,128,8672," $.",1.163101
0,129,2055," So",1.385837
0,130,11,",",1.500274
0,131,400," $",0.917002
0,132,1124," \",0.704793
0,133,15940,"sin",0.394476
0,134,11520,"(\",0.609141
0,135,15976,"theta",0.577330
0,136,8,")",0.569335
0,137,284," =",0.550815
0,138,220," ",0.503837
0,139,15,"0",0.525319
0,140,400," $",0.929738
0,141,979," when",0.817125
0,142,400," $",0.632830
0,143,1124," \",0.780276
0,144,15976,"theta",0.472336
0,145,284," =",0.785055
0,146,595," k",0.379330
0,147,59,"\",0.699288
0,148,2493,"pi",0.601419
0,149,400," $",0.630579
0,150,369," for",0.745360
0,151,1045," some",0.734980
0,152,7546," integer",0.502577
0,153,400," $",0.549080
0,154,595," k",0.413097
0,155,8672," $.",1.146223
0,156,15277," Therefore",0.554812
0,157,11,",",1.341969
0,158,369," for",1.187665
0,159,279," the",1.245517
0,160,23606," equation",1.018550
0,161,400," $",0.676814
0,162,282," f",0.616987
0,163,2075,"(x",0.510855
0,164,8,")",0.452564
0,165,284," =",0.829324
0,166,1124," \",0.736533
0,167,15940,"sin",0.395657
0,168,7,"(",0.471976
0,169,22,"7",0.137919
0,170,59,"\",0.596188
0,171,2493,"pi",0.609032
0,172,1124," \",0.671893
0,173,50853,"cdot",0.657206
0,174,1124," \",1.096727
0,175,15940,"sin",0.273624
0,176,7,"(",0.939555
0,177,20,"5",0.231325
0,178,87,"x",0.337880
0,179,593,"))",0.598553
0,180,284," =",0.558322
0,181,220," ",0.534566
0,182,15,"0",0.473652
0,183,400," $",0.912737
0,184,11,",",1.014169
0,185,279," the",1.307117
0,186,5693," argument",1.055089
0,187,400," $",0.562403
0,188,220," ",0.787505
0,189,22,"7",0.288175
0,190,59,"\",0.836675
0,191,2493,"pi",0.513008
0,192,1124," \",0.662056
0,193,50853,"cdot",0.630530
0,194,1124," \",1.007058
0,195,15940,"sin",0.461852
0,196,7,"(",0.967252
0,197,20,"5",0.474573
0,198,87,"x",0.899101
0,199,8,")",0.473651
0,200,400," $",0.472390
0,201,1969," must",0.467423
0,202,387," be",0.789033
0,203,6144," equal",0.422577
0,204,311," to",1.093215
0,205,400," $",0.749624
0,206,595," k",0.540084
0,207,59,"\",0.740876
0,208,2493,"pi",0.818260
0,209,400," $",1.000621
0,210,369," for",0.811013
0,211,1045," some",0.863169
0,212,7546," integer",0.539594
0,213,400," $",0.640405
0,214,595," k",0.754638
0,215,8672," $.",1.018470
0,216,6771," Let",0.557455
0,217,752," me",0.770795
0,218,3270," write",0.457261
0,219,429," that",0.697869
0,220,1495," down",0.824961
0,221,1447,":

",0.865730
0,222,14085,"$$",0.368738
0,223,198,"
",0.757825
0,224,22,"7",0.197888
0,225,59,"\",0.650011
0,226,2493,"pi",0.514820
0,227,1124," \",0.681736
0,228,50853,"cdot",0.693807
0,229,1124," \",0.840760
0,230,15940,"sin",0.582587
0,231,7,"(",1.234007
0,232,20,"5",0.833518
0,233,87,"x",1.076541
0,234,8,")",0.804206
0,235,284," =",0.726875
0,236,595," k",0.147105
0,237,59,"\",0.774244
0,238,2493,"pi",0.733475
0,239,198,"
",0.484836
0,240,14085,"$$",0.341283
0,241,271,"

",0.850868
0,242,12509,"Div",-0.002471
0,243,6577,"iding",0.456748
0,244,2176," both",0.449240
0,245,11067," sides",0.423556
0,246,553," by",0.970871
0,247,400," $",0.624575
0,248,1124," \",0.714915
0,249,2493,"pi",0.752919
0,250,400," $",1.047481
0,251,11,",",1.097474
0,252,582," we",0.436736
0,253,633," get",0.513747
0,254,1447,":

",0.915704
0,255,14085,"$$",1.108861
0,256,198,"
",0.710303
0,257,22,"7",0.118464
0,258,1124," \",0.736465
0,259,15940,"sin",0.540529
0,260,7,"(",1.399029
0,261,20,"5",0.753633
0,262,87,"x",1.355793
0,263,8,")",1.144654
0,264,284," =",0.683474
0,265,595," k",0.735387
0,266,198,"
",0.489344
0,267,14085,"$$",0.213661
0,268,271,"

",0.813770
0,269,4416,"So",1.174850
0,270,11,",",1.530429
0,271,400," $",0.677093
0,272,1124," \",0.746641
0,273,15940,"sin",0.533115
0,274,7,"(",0.697491
0,275,20,"5",0.629214
0,276,87,"x",0.875819
0,277,8,")",0.518918
0,278,284," =",0.663051
0,279,1124," \",0.695384
0,280,37018,"frac",0.965726
0,281,69094,"{k",0.450061
0,282,15170,"}{",0.738618
0,283,22,"7",0.174353
0,284,92,"}",0.474909
0,285,8672," $.",1.079023
0,286,8704," Since",1.124371
0,287,279," the",0.965843
0,288,57668," sine",0.473835
0,289,729," function",0.944417
0,290,702," has",0.925488
0,291,264," a",0.648544
0,292,2088," range",0.842710
0,293,315," of",1.247504
0,294,400," $",0.572539
0,295,10055," [-",0.631921
0,296,16,"1",0.659604
0,297,11,",",0.524608
0,298,220," ",1.113372
0,299,16,"1",0.398930
0,300,60,"]",0.242657
0,301,400," $",0.957149
0,302,11,",",1.118650
0,303,279," the",1.089199
0,304,1290," right",0.115070
0,305,24413,"-hand",0.451875
0,306,3108," side",0.928012
0,307,1969," must",0.479500
0,308,1083," also",0.475431
0,309,10246," lie",0.426369
0,310,2878," within",0.598970
0,311,419," this",0.529350
0,312,9873," interval",0.708846
0,313,13,".",0.862974
0,314,15277," Therefore",0.537008
0,315,11,",",1.317512
0,316,400," $",0.764735
0,317,1124," \",0.602144
0,318,37018,"frac",0.589180
0,319,69094,"{k",0.579904
0,320,15170,"}{",0.802814
0,321,22,"7",0.262007
0,322,92,"}",0.529403
0,323,1124," \",0.595069
0,324,258,"in",0.642875
0,325,10055," [-",1.042667
0,326,16,"1",1.086507
0,327,11,",",0.583212
0,328,220," ",0.894951
0,329,16,"1",0.228597
0,330,60,"]",0.730704
0,331,400," $",1.135370
0,332,11,",",0.539527
0,333,892," which",0.594442
0,334,23945," implies",0.493975
0,335,429," that",0.585654
0,336,400," $",0.570413
0,337,595," k",0.543092
0,338,1124," \",0.579272
0,339,258,"in",0.855877
0,340,1124," \",0.636605
0,341,19999,"{-",0.569466
0,342,22,"7",0.320860
0,343,11,",",0.602694
0,344,481," -",0.606456
0,345,21,"6",0.606515
0,346,11,",",0.580992
0,347,1124," \",0.558048
0,348,507,"ld",0.633370
0,349,2412,"ots",0.551556
0,350,11,",",0.520435
0,351,220," ",0.484232
0,352,21,"6",0.352916
0,353,11,",",0.540078
0,354,220," ",1.020396
0,355,22,"7",0.172520
0,356,59,"\",0.471466
0,357,92,"}",0.657875
0,358,8672," $.",1.260501
0,359,4354," However",0.666279
0,360,11,",",1.714151
0,361,2474," since",1.621516
0,362,400," $",1.129521
0,363,595," k",1.228281
0,364,400," $",1.052476
0,365,1969," must",1.085125
0,366,387," be",1.412490
0,367,458," an",0.846537
0,368,7546," integer",1.599781
0,369,11,",",1.517392
0,370,279," the",1.313273
0,371,3204," possible",1.022609
0,372,2750," values",0.610155
0,373,315," of",0.869740
0,374,400," $",0.590213
0,375,595," k",0.449799
0,376,400," $",1.109650
0,377,525," are",1.493582
0,378,504," from",0.993648
0,379,400," $",0.532794
0,380,481," -",0.581213
0,381,22,"7",0.545906
0,382,400," $",0.569006
0,383,311," to",0.618347
0,384,400," $",0.629714
0,385,220," ",0.782765
0,386,22,"7",0.289058
0,387,400," $",1.170570
