sample_idx,position,token_id,token_str,mi_value
0,0,151667,"<think>",1.644889
0,1,271,"

",0.248056
0,2,151668,"</think>",0.432338
0,3,271,"

",0.638740
0,4,32313,"Okay",2.514571
0,5,11,",",2.303456
0,6,773," so",2.519886
0,7,358," I",1.849815
0,8,1184," need",1.870337
0,9,311," to",1.891032
0,10,1477," find",2.730664
0,11,279," the",2.667790
0,12,1372," number",2.263820
0,13,315," of",2.597187
0,14,9904," solutions",2.374906
0,15,311," to",2.513060
0,16,279," the",2.021179
0,17,23606," equation",2.619030
0,18,400," $",2.406021
0,19,282," f",1.485099
0,20,2075,"(x",1.533431
0,21,8,")",1.984608
0,22,284," =",2.113034
0,23,1124," \",0.987264
0,24,15940,"sin",1.802823
0,25,7,"(",1.744553
0,26,22,"7",2.118488
0,27,59,"\",0.901181
0,28,2493,"pi",2.231222
0,29,1124," \",1.048950
0,30,50853,"cdot",2.209179
0,31,1124," \",1.063172
0,32,15940,"sin",1.688115
0,33,7,"(",1.477615
0,34,20,"5",2.076983
0,35,87,"x",1.802003
0,36,593,"))",2.057343
0,37,284," =",2.107510
0,38,220," ",0.915088
0,39,15,"0",1.799388
0,40,400," $",2.300681
0,41,304," in",2.099885
0,42,279," the",1.806444
0,43,9873," interval",1.832958
0,44,400," $",1.448546
0,45,220," ",0.214136
0,46,15,"0",1.453935
0,47,366," <",1.072205
0,48,856," x",1.507176
0,49,366," <",2.003419
0,50,220," ",0.592649
0,51,17,"2",1.917284
0,52,59,"\",0.391742
0,53,2493,"pi",1.615971
0,54,400," $",1.909130
0,55,11,",",2.075269
0,56,323," and",1.903249
0,57,1221," then",1.877526
0,58,8253," determine",2.204854
0,59,1246," how",2.065707
0,60,1657," many",2.303916
0,61,315," of",1.425148
0,62,1846," those",1.710662
0,63,9904," solutions",1.803354
0,64,525," are",1.954050
0,65,3501," points",1.888683
0,66,1380," where",2.206450
0,67,279," the",2.031401
0,68,4771," graph",1.910920
0,69,315," of",1.915208
0,70,400," $",1.385329
0,71,379," y",1.405878
0,72,284," =",1.707731
0,73,282," f",1.195934
0,74,2075,"(x",1.307990
0,75,8,")",1.328548
0,76,400," $",1.817102
0,77,374," is",1.726174
0,78,68660," tangent",1.863449
0,79,311," to",2.143287
0,80,279," the",1.885531
0,81,856," x",0.287946
0,82,35321,"-axis",2.215973
0,83,13,".",1.563633
0,84,17375," Finally",1.228500
0,85,11,",",1.758408
0,86,358," I",1.215290
0,87,614," have",1.620771
0,88,311," to",1.613660
0,89,912," add",1.796208
0,90,1846," those",1.688181
0,91,1378," two",1.514467
0,92,5109," numbers",1.747116
0,93,3786," together",2.375998
0,94,13,".",1.242983
0,95,6771," Let",0.850791
0,96,752," me",0.618893
0,97,1430," try",0.550387
0,98,311," to",0.777772
0,99,975," work",0.253336
0,100,1526," through",0.158590
0,101,419," this",0.811168
0,102,3019," step",0.046391
0,103,553," by",0.340944
0,104,3019," step",1.222688
0,105,382,".

",0.843058
0,106,5338,"First",0.908647
0,107,11,",",1.243773
0,108,1077," let",0.368974
0,109,752," me",0.746389
0,110,19091," recall",1.084699
0,111,429," that",1.515296
0,112,279," the",1.537532
0,113,57668," sine",0.587245
0,114,729," function",1.063478
0,115,16819," equals",0.369111
0,116,7168," zero",0.698542
0,117,979," when",0.811612
0,118,1181," its",0.566962
0,119,5693," argument",0.921048
0,120,374," is",0.858476
0,121,458," an",0.335682
0,122,7546," integer",0.328738
0,123,5248," multiple",0.256854
0,124,315," of",1.156471
0,125,400," $",0.600054
0,126,1124," \",0.653431
0,127,2493,"pi",0.773787
0,128,8672," $.",1.081774
0,129,2055," So",1.221997
0,130,11,",",1.354892
0,131,400," $",0.803696
0,132,1124," \",0.650316
0,133,15940,"sin",0.373265
0,134,11520,"(\",0.486509
0,135,15976,"theta",0.648606
0,136,8,")",0.530223
0,137,284," =",0.320990
0,138,220," ",0.485193
0,139,15,"0",0.595028
0,140,400," $",0.757311
0,141,979," when",0.586823
0,142,400," $",0.356068
0,143,1124," \",0.708638
0,144,15976,"theta",0.577873
0,145,284," =",0.617844
0,146,595," k",0.508284
0,147,59,"\",0.582988
0,148,2493,"pi",0.623461
0,149,400," $",0.409641
0,150,369," for",0.520431
0,151,1045," some",0.520782
0,152,7546," integer",0.233903
0,153,400," $",0.275025
0,154,595," k",0.457202
0,155,8672," $.",1.057872
0,156,15277," Therefore",0.383906
0,157,11,",",1.158887
0,158,369," for",1.068530
0,159,279," the",1.093133
0,160,23606," equation",0.823337
0,161,400," $",0.460513
0,162,282," f",0.615798
0,163,2075,"(x",0.536275
0,164,8,")",0.346892
0,165,284," =",0.654956
0,166,1124," \",0.693129
0,167,15940,"sin",0.351063
0,168,7,"(",0.452198
0,169,22,"7",0.128038
0,170,59,"\",0.461595
0,171,2493,"pi",0.535057
0,172,1124," \",0.618074
0,173,50853,"cdot",0.390034
0,174,1124," \",1.046854
0,175,15940,"sin",0.253931
0,176,7,"(",0.938238
0,177,20,"5",0.225702
0,178,87,"x",0.338821
0,179,593,"))",0.594366
0,180,284," =",0.325243
0,181,220," ",0.524801
0,182,15,"0",0.479725
0,183,400," $",0.717713
0,184,11,",",0.838386
0,185,279," the",1.178815
0,186,5693," argument",0.893158
0,187,400," $",0.348090
0,188,220," ",0.777283
0,189,22,"7",0.241864
0,190,59,"\",0.733950
0,191,2493,"pi",0.336995
0,192,1124," \",0.597662
0,193,50853,"cdot",0.322369
0,194,1124," \",0.951152
0,195,15940,"sin",0.427978
0,196,7,"(",0.977174
0,197,20,"5",0.456574
0,198,87,"x",0.830669
0,199,8,")",0.195961
0,200,400," $",0.151555
0,201,1969," must",0.287159
0,202,387," be",0.596635
0,203,6144," equal",0.162710
0,204,311," to",0.942605
0,205,400," $",0.565082
0,206,595," k",0.667212
0,207,59,"\",0.619481
0,208,2493,"pi",0.839605
0,209,400," $",0.809376
0,210,369," for",0.588692
0,211,1045," some",0.653248
0,212,7546," integer",0.242786
0,213,400," $",0.347779
0,214,595," k",0.845517
0,215,8672," $.",0.955513
0,216,6771," Let",0.395100
0,217,752," me",0.595646
0,218,3270," write",0.162616
0,219,429," that",0.469511
0,220,1495," down",0.655668
0,221,1447,":

",0.793397
0,222,14085,"$$",0.180738
0,223,198,"
",0.729308
0,224,22,"7",0.129429
0,225,59,"\",0.537663
0,226,2493,"pi",0.285628
0,227,1124," \",0.629004
0,228,50853,"cdot",0.362329
0,229,1124," \",0.746627
0,230,15940,"sin",0.537775
0,231,7,"(",1.243866
0,232,20,"5",0.806230
0,233,87,"x",1.001085
0,234,8,")",0.568713
0,235,284," =",0.457489
0,236,595," k",0.158074
0,237,59,"\",0.664649
0,238,2493,"pi",0.823381
0,239,198,"
",0.448565
0,240,14085,"$$",0.306141
0,241,271,"

",0.764977
0,242,12509,"Div",-0.054380
0,243,6577,"iding",0.146813
0,244,2176," both",0.147436
0,245,11067," sides",0.120548
0,246,553," by",0.786471
0,247,400," $",0.328968
0,248,1124," \",0.662199
0,249,2493,"pi",0.866966
0,250,400," $",0.918113
0,251,11,",",0.944064
0,252,582," we",0.249160
0,253,633," get",0.224195
0,254,1447,":

",0.790118
0,255,14085,"$$",0.948518
0,256,198,"
",0.692099
0,257,22,"7",0.097831
0,258,1124," \",0.685487
0,259,15940,"sin",0.474958
0,260,7,"(",1.419114
0,261,20,"5",0.717848
0,262,87,"x",1.246884
0,263,8,")",0.925214
0,264,284," =",0.414549
0,265,595," k",0.824142
0,266,198,"
",0.378978
0,267,14085,"$$",0.119992
0,268,271,"

",0.736815
0,269,4416,"So",0.981241
0,270,11,",",1.385852
0,271,400," $",0.471819
0,272,1124," \",0.666658
0,273,15940,"sin",0.483746
0,274,7,"(",0.685957
0,275,20,"5",0.604732
0,276,87,"x",0.787542
0,277,8,")",0.255435
0,278,284," =",0.352220
0,279,1124," \",0.633302
0,280,37018,"frac",0.948191
0,281,69094,"{k",0.406785
0,282,15170,"}{",0.736537
0,283,22,"7",0.102806
0,284,92,"}",0.450621
0,285,8672," $.",0.972687
0,286,8704," Since",0.971687
0,287,279," the",0.757546
0,288,57668," sine",0.182886
0,289,729," function",0.748263
0,290,702," has",0.689093
0,291,264," a",0.423151
0,292,2088," range",0.646131
0,293,315," of",1.061502
0,294,400," $",0.346041
0,295,10055," [-",0.590307
